Samples	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Group
83815_G07	0.0183	0.0383	-0.0025	-0.0410	0.0249	-0.0292	0.0042	-0.0114	-0.0016	-0.0041	Finland
83815_G08	0.0144	0.0272	-0.0006	-0.0288	0.0244	-0.0253	-0.0014	-0.0043	0.0065	-0.0031	Finland
83815_G09	0.0162	0.0301	-0.0003	-0.0253	0.0205	-0.0259	0.0106	-0.0002	0.0014	0.0010	Finland
83815_G10	0.0152	0.0281	0.0009	-0.0313	0.0166	-0.0225	0.0023	-0.0055	0.0062	-0.0020	Finland
83815_G11	0.0089	0.0036	0.0071	0.0077	-0.0031	0.0027	-0.0019	0.0095	0.0043	0.0009	Denmark
83815_G12	0.0056	0.0014	0.0063	0.0075	-0.0018	-0.0001	0.0163	0.0017	-0.0130	-0.0097	Denmark
83815_H01	0.0161	0.0320	-0.0031	-0.0287	0.0168	-0.0308	0.0056	-0.0086	0.0063	0.0044	Finland
83815_H02	0.0151	0.0302	0.0041	-0.0269	0.0201	-0.0257	0.0105	-0.0210	0.0150	0.0041	Finland_Subset
83815_H03	0.0139	0.0271	-0.0009	-0.0273	0.0213	-0.0238	0.0049	-0.0031	0.0022	0.0030	Finland
83815_H04	0.0144	0.0310	-0.0023	-0.0294	0.0197	-0.0267	0.0014	-0.0070	-0.0009	-0.0041	Finland
83815_H05	0.0146	0.0287	-0.0004	-0.0318	0.0230	-0.0238	0.0024	-0.0082	0.0007	0.0089	Finland
83815_H07	0.0161	0.0324	-0.0045	-0.0244	0.0224	-0.0230	0.0036	-0.0083	0.0030	0.0014	Finland
83815_H08	0.0166	0.0321	0.0054	-0.0401	0.0286	-0.0526	0.0222	-0.0020	-0.0006	-0.0077	Finland_Subset
83815_H09	0.0164	0.0364	0.0024	-0.0339	0.0219	-0.0264	0.0049	-0.0037	0.0052	-0.0063	Finland
83815_H10	0.0133	0.0295	-0.0059	-0.0204	0.0151	-0.0215	-0.0039	0.0012	-0.0015	0.0089	Finland
83815_H11	0.0065	-0.0010	0.0065	0.0139	0.0061	-0.0010	-0.0055	-0.0083	-0.0124	0.0039	Denmark
83815_H12	0.0034	0.0010	0.0127	0.0066	-0.0046	-0.0037	-0.0111	0.0098	0.0056	0.0219	Denmark
83817_A01	-0.0341	0.0112	0.0121	-0.0037	-0.0126	-0.0066	-0.0074	0.0028	0.0050	0.0075	Italy
83817_A02	-0.0190	0.0048	0.0023	-0.0025	0.0057	0.0012	-0.0005	0.0031	0.0144	0.0054	Italy
83817_A03	-0.0247	0.0044	0.0011	-0.0026	-0.0084	0.0015	-0.0001	-0.0013	-0.0008	0.0104	Italy
83817_A04	-0.0260	0.0080	0.0071	-0.0039	-0.0109	-0.0101	0.0155	0.0054	0.0051	-0.0128	Italy
83817_A06	-0.0310	0.0101	0.0099	-0.0025	-0.0214	-0.0147	0.0024	0.0072	-0.0046	-0.0092	Italy
83817_A07	-0.0194	-0.0018	0.0055	-0.0045	0.0064	-0.0030	0.0121	0.0164	-0.0034	0.0002	Italy
83817_A08	-0.0199	0.0003	0.0033	-0.0110	0.0071	0.0038	0.0273	-0.0038	-0.0139	-0.0029	Italy
83817_A09	-0.0187	0.0021	0.0063	0.0043	0.0089	0.0018	0.0155	-0.0034	0.0023	-0.0102	Italy
83817_A10	-0.0192	-0.0015	0.0032	-0.0012	0.0067	0.0044	0.0069	-0.0057	0.0187	-0.0101	Italy
83817_A11	-0.0230	0.0027	-0.0001	-0.0061	-0.0049	-0.0077	-0.0041	0.0081	-0.0034	-0.0161	Italy
83817_A12	-0.0170	0.0016	0.0022	-0.0015	0.0057	0.0093	0.0047	0.0183	-0.0155	-0.0088	Italy
83817_B01	-0.0338	0.0127	0.0111	-0.0078	-0.0329	-0.0060	-0.0000	-0.0208	-0.0097	-0.0106	Italy
83817_B02	-0.0296	0.0074	0.0129	0.0001	0.0020	0.0016	-0.0068	0.0121	-0.0066	0.0133	Italy
83817_B03	-0.0330	0.0114	0.0120	-0.0038	-0.0188	-0.0104	0.0091	0.0002	-0.0135	0.0171	Italy
83817_B04	-0.0036	0.0175	-0.0201	0.0030	-0.0072	-0.0043	0.0066	-0.0068	-0.0096	0.0172	Italy
83817_B05	-0.0176	0.0017	-0.0013	-0.0076	0.0081	0.0033	0.0035	0.0031	0.0061	0.0223	Italy
83817_B06	-0.0186	0.0012	0.0054	-0.0004	0.0133	0.0058	0.0193	0.0155	0.0024	-0.0063	Italy
83817_B07	-0.0199	0.0035	0.0037	-0.0021	0.0024	0.0024	0.0194	-0.0181	0.0080	0.0042	Italy
83817_B08	-0.0208	0.0001	0.0002	-0.0016	0.0049	0.0047	0.0044	-0.0289	0.0097	-0.0047	Italy
83817_B09	-0.0315	0.0136	0.0112	-0.0056	-0.0244	-0.0178	-0.0104	-0.0017	-0.0270	-0.0028	Italy
83817_B10	-0.0351	-0.0024	0.0128	-0.0052	0.0397	0.0155	-0.0139	-0.0007	-0.0062	-0.0059	Italy
83817_B11	-0.0240	0.0030	0.0071	-0.0039	-0.0067	-0.0030	-0.0063	0.0107	-0.0076	0.0087	Italy
83817_B12	-0.0294	0.0147	0.0083	-0.0043	-0.0100	0.0051	0.0070	0.0067	-0.0090	-0.0027	Italy
83817_C01	-0.0206	0.0030	-0.0010	-0.0012	-0.0086	0.0041	0.0034	-0.0079	0.0045	-0.0065	Italy
83817_C02	-0.0276	0.0054	0.0049	-0.0087	-0.0161	-0.0039	0.0038	-0.0137	-0.0053	0.0137	Italy
83817_C03	-0.0320	0.0116	0.0132	-0.0033	-0.0234	-0.0144	-0.0072	0.0145	-0.0011	-0.0024	Italy
83817_C04	-0.0312	0.0112	0.0089	-0.0093	-0.0191	-0.0066	0.0036	-0.0120	-0.0105	-0.0025	Italy
83817_C05	-0.0200	0.0065	0.0031	-0.0010	0.0020	0.0071	-0.0141	0.0170	-0.0110	-0.0094	Italy
83817_C06	-0.0197	0.0005	0.0032	-0.0091	0.0026	-0.0030	-0.0101	0.0011	0.0115	0.0031	Italy
83817_C07	-0.0283	0.0099	0.0092	-0.0052	-0.0159	-0.0006	-0.0031	0.0041	-0.0134	-0.0159	Italy
