Samples	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Group
VK387_noUDG.SG	0.0115	-0.0003	0.0123	-0.0097	-0.0112	0.0016	-0.0026	0.0109	-0.0082	-0.0089	Norway_Viking.SG
VK388_noUDG.SG	0.0117	0.0063	0.0138	-0.0051	-0.0062	0.0117	-0.0010	-0.0051	0.0025	-0.0064	Norway_Viking.SG
VK389_noUDG.SG	0.0123	0.0009	0.0095	0.0004	-0.0029	0.0020	0.0046	0.0037	-0.0012	-0.0047	Norway_Viking.SG
VK392_noUDG.SG	0.0120	0.0041	0.0190	0.0009	-0.0033	0.0040	-0.0019	-0.0018	0.0024	0.0052	Norway_Viking.SG
VK393_noUDG.SG	0.0125	0.0056	0.0205	-0.0029	-0.0024	0.0095	0.0077	0.0028	-0.0025	0.0046	Norway_Viking.SG
VK394_noUDG.SG	0.0133	0.0058	0.0149	0.0015	-0.0057	0.0073	-0.0026	0.0064	-0.0059	-0.0025	Norway_Viking.SG
VK414_noUDG.SG	0.0112	0.0046	0.0156	-0.0050	-0.0037	0.0029	-0.0083	0.0047	0.0016	0.0030	Norway_Viking.SG
VK415_noUDG.SG	0.0128	0.0042	0.0176	-0.0025	-0.0015	0.0043	-0.0024	0.0036	-0.0001	-0.0007	Norway_Viking.SG
VK417_noUDG.SG	0.0142	0.0092	0.0176	-0.0025	-0.0004	0.0013	-0.0004	-0.0022	-0.0045	-0.0009	Norway_Viking.SG
VK419_noUDG.SG	0.0136	0.0096	0.0161	-0.0017	-0.0032	0.0030	-0.0065	-0.0079	-0.0028	0.0036	Norway_Viking.SG
VK420_noUDG.SG	0.0095	-0.0072	0.0036	0.0012	-0.0023	-0.0043	0.0028	0.0007	-0.0034	-0.0005	Norway_Viking.SG
VK422_noUDG.SG	0.0085	-0.0033	0.0008	-0.0055	-0.0080	-0.0003	0.0091	-0.0088	0.0046	0.0037	Norway_Viking.SG
VK448_noUDG.SG	-0.0029	-0.0054	0.0010	0.0056	0.0060	-0.0023	-0.0011	-0.0043	0.0002	-0.0049	Norway_Viking.SG
VK514_noUDG.SG	0.0087	0.0070	0.0198	-0.0021	-0.0014	0.0030	0.0023	0.0022	-0.0076	0.0008	Norway_Viking.SG
VK515_noUDG.SG	0.0095	-0.0020	0.0062	0.0005	-0.0001	0.0037	-0.0081	-0.0010	-0.0097	0.0073	Norway_Viking.SG
VK516_noUDG.SG	0.0129	0.0113	0.0175	-0.0031	0.0021	0.0057	-0.0046	0.0037	0.0007	-0.0153	Norway_Viking.SG
VK520_noUDG.SG	0.0144	0.0040	0.0165	-0.0015	-0.0121	0.0077	-0.0017	0.0049	-0.0067	0.0039	Norway_Viking.SG
VK524_noUDG.SG	0.0142	0.0048	0.0162	-0.0007	-0.0021	0.0012	0.0021	-0.0012	0.0018	-0.0036	Norway_Viking.SG
VK525_noUDG.SG	0.0029	-0.0138	-0.0142	-0.0091	0.0051	0.0022	0.0080	-0.0059	-0.0082	-0.0100	Norway_Viking.SG
VK526_noUDG.SG	0.0053	-0.0055	-0.0005	0.0113	0.0001	-0.0030	-0.0056	0.0064	0.0000	-0.0098	Norway_Viking.SG
VK528_noUDG.SG	0.0025	-0.0117	-0.0156	-0.0150	-0.0054	-0.0025	-0.0051	0.0035	0.0043	-0.0039	Norway_Viking.SG
VK529_noUDG.SG	0.0142	0.0080	0.0210	0.0027	-0.0085	0.0087	-0.0068	0.0028	0.0003	0.0002	Norway_Viking.SG
VK530_noUDG.SG	0.0028	-0.0097	-0.0055	-0.0081	-0.0027	0.0016	-0.0018	0.0089	0.0045	-0.0002	Norway_Viking.SG
VK547_noUDG.SG	0.0128	0.0096	0.0205	-0.0036	0.0019	0.0029	0.0009	-0.0031	-0.0045	-0.0007	Norway_Viking.SG
VK548_noUDG.SG	0.0111	0.0075	0.0148	0.0016	-0.0060	0.0080	-0.0033	0.0005	-0.0009	0.0003	Norway_Viking.SG
S_Norwegian-1.DG	0.0108	0.0016	0.0024	-0.0073	-0.0024	0.0032	-0.0026	-0.0027	-0.0047	-0.0058	Norwegian.DG
mondal_ONG-1.SG	-0.0107	0.0525	0.0010	-0.0622	-0.0216	-0.0465	0.0097	-0.0086	-0.0007	0.0074	ONG.SG
mondal_ONG-12.SG	-0.0117	0.0538	0.0050	-0.0631	-0.0258	-0.0460	0.0048	-0.0114	0.0095	0.0043	ONG.SG
mondal_ONG-14.SG	-0.0122	0.0531	0.0033	-0.0629	-0.0211	-0.0454	0.0100	-0.0088	0.0060	0.0040	ONG.SG
mondal_ONG-4.SG	-0.0108	0.0491	0.0045	-0.0626	-0.0246	-0.0473	0.0040	-0.0039	-0.0010	0.0063	ONG.SG
mondal_ONG-8.SG	-0.0121	0.0530	0.0004	-0.0609	-0.0253	-0.0507	0.0054	-0.0067	0.0002	0.0040	ONG.SG
mondal_ONG-9.SG	-0.0115	0.0539	0.0030	-0.0636	-0.0227	-0.0514	0.0083	-0.0063	-0.0028	0.0027	ONG.SG
S_Orcadian-2.DG	0.0042	-0.0104	-0.0085	-0.0087	-0.0070	0.0037	-0.0052	-0.0020	0.0268	-0.0175	Orcadian.DG
S_Orcadian-1.DG	0.0036	-0.0125	-0.0064	-0.0088	-0.0102	-0.0052	-0.0081	-0.0049	0.0072	-0.0065	Orcadian.DG
HGDP00794.DG	0.0027	-0.0120	-0.0050	-0.0094	-0.0161	-0.0004	0.0047	-0.0004	0.0182	-0.0107	Orcadian.DG
HGDP00795.DG	0.0036	-0.0089	-0.0061	-0.0085	-0.0135	-0.0028	-0.0044	-0.0057	0.0063	-0.0150	Orcadian.DG
HGDP00796.DG	0.0042	-0.0103	-0.0086	-0.0084	-0.0072	0.0037	-0.0049	-0.0018	0.0270	-0.0176	Orcadian.DG
HGDP00797.DG	0.0044	-0.0107	-0.0063	-0.0104	-0.0088	0.0055	-0.0092	-0.0013	0.0141	-0.0129	Orcadian.DG
HGDP00798.DG	0.0036	-0.0125	-0.0065	-0.0086	-0.0102	-0.0052	-0.0082	-0.0049	0.0073	-0.0068	Orcadian.DG
HGDP00799.DG	0.0050	-0.0098	-0.0060	-0.0062	-0.0020	-0.0042	0.0022	0.0061	0.0046	-0.0008	Orcadian.DG
HGDP00800.DG	0.0023	-0.0111	-0.0094	-0.0112	-0.0132	0.0083	0.0036	0.0063	0.0204	-0.0007	Orcadian.DG
HGDP00802.DG	0.0048	-0.0111	-0.0105	-0.0136	-0.0159	0.0060	0.0108	0.0017	0.0101	-0.0102	Orcadian.DG
HGDP00803.DG	0.0044	-0.0114	-0.0057	-0.0063	-0.0133	-0.0033	0.0031	-0.0002	0.0239	-0.0279	Orcadian.DG
HGDP00804.DG	0.0035	-0.0131	-0.0101	-0.0145	-0.0128	0.0027	0.0076	0.0017	0.0159	-0.0189	Orcadian.DG
HGDP00805.DG	0.0036	-0.0124	-0.0078	-0.0098	-0.0142	0.0090	0.0248	-0.0153	0.0371	-0.0272	Orcadian.DG
HGDP00806.DG	0.0042	-0.0110	-0.0082	-0.0103	-0.0068	-0.0014	0.0032	0.0007	0.0136	-0.0172	Orcadian.DG
HGDP00807.DG	0.0049	-0.0087	-0.0066	-0.0073	-0.0102	-0.0003	0.0034	-0.0043	0.0172	-0.0031	Orcadian.DG
HGDP00808.DG	0.0053	-0.0100	-0.0127	-0.0161	-0.0127	-0.0064	0.0175	0.0050	0.0284	-0.0131	Orcadian.DG
HGDP00810.DG	0.0024	-0.0116	-0.0062	-0.0133	-0.0107	-0.0031	-0.0088	-0.0007	0.0165	-0.0136	Orcadian.DG
S_Oroqen-1.DG	0.0016	0.0747	-0.0018	-0.0986	-0.0159	-0.0673	0.0152	-0.0157	0.0051	0.0042	Oroqen.DG
S_Oroqen-2.DG	0.0023	0.0740	0.0016	-0.0995	-0.0110	-0.0659	0.0104	-0.0250	0.0034	-0.0073	Oroqen.DG
HGDP01203.DG	0.0016	0.0748	-0.0017	-0.0982	-0.0162	-0.0672	0.0154	-0.0158	0.0051	0.0042	Oroqen.DG
HGDP01204.DG	-0.0033	0.0717	0.0038	-0.0884	-0.0148	-0.0637	0.0167	-0.0136	0.0097	-0.0043	Oroqen.DG
HGDP01205.DG	-0.0010	0.0684	0.0046	-0.0913	-0.0141	-0.0568	0.0166	-0.0188	0.0072	-0.0033	Oroqen.DG
HGDP01206.DG	-0.0004	0.0733	0.0010	-0.0927	-0.0138	-0.0656	0.0164	-0.0218	0.0069	-0.0018	Oroqen.DG
HGDP01207.DG	-0.0020	0.0688	0.0018	-0.0877	-0.0100	-0.0612	0.0131	-0.0195	0.0098	0.0042	Oroqen.DG
HGDP01208.DG	-0.0010	0.0733	0.0007	-0.0953	-0.0187	-0.0635	0.0150	-0.0185	0.0026	0.0023	Oroqen.DG
HGDP01209.DG	-0.0010	0.0717	-0.0017	-0.0942	-0.0133	-0.0610	0.0191	-0.0169	0.0050	-0.0012	Oroqen.DG
HGDP01211.DG	0.0023	0.0740	0.0018	-0.0992	-0.0110	-0.0659	0.0109	-0.0248	0.0032	-0.0072	Oroqen.DG
HGDP01212.DG	-0.0025	0.0664	0.0005	-0.0882	-0.0171	-0.0580	0.0217	-0.0148	0.0024	0.0032	Oroqen.DG
I6888	-0.0135	0.0357	0.0011	-0.0344	-0.0531	-0.0372	0.0100	-0.0083	-0.0023	-0.0001	Pakistan_Aligrama_IA
I8219	-0.0146	0.0354	0.0001	-0.0357	-0.0486	-0.0376	0.0155	-0.0079	0.0026	-0.0025	Pakistan_Aligrama_IA
I8246	-0.0149	0.0377	-0.0018	-0.0445	-0.0501	-0.0387	0.0123	-0.0117	-0.0011	0.0014	Pakistan_Aligrama_IA
I6557	-0.0132	0.0311	-0.0060	-0.0264	-0.0551	-0.0374	0.0120	-0.0055	-0.0106	0.0005	Pakistan_Arkotkila_IA
I6545	-0.0147	0.0262	-0.0014	-0.0216	-0.0511	-0.0339	0.0133	-0.0038	0.0008	-0.0016	Pakistan_Barikot_IA
I6546	-0.0105	0.0279	-0.0042	-0.0266	-0.0488	-0.0393	0.0039	-0.0002	-0.0001	-0.0034	Pakistan_Barikot_IA
I6548	-0.0089	0.0237	-0.0028	-0.0180	-0.0444	-0.0324	0.0051	-0.0020	0.0046	-0.0033	Pakistan_Barikot_IA
I6547	-0.0137	0.0354	-0.0022	-0.0314	-0.0440	-0.0409	0.0128	-0.0048	-0.0020	-0.0036	Pakistan_Barikot_H
I7715	-0.0122	0.0307	0.0001	-0.0258	-0.0464	-0.0350	0.0046	-0.0141	-0.0010	0.0011	Pakistan_Barikot_Medieval_2
I12449	-0.0113	0.0293	0.0011	-0.0230	-0.0525	-0.0343	0.0117	-0.0075	-0.0012	-0.0054	Pakistan_Butkara_IA_father.or.son.I12968
I12450	-0.0150	0.0307	-0.0006	-0.0256	-0.0499	-0.0344	0.0087	-0.0074	-0.0062	-0.0002	Pakistan_Butkara_IA
I12451	-0.0126	0.0240	-0.0022	-0.0276	-0.0568	-0.0336	0.0038	-0.0036	-0.0053	0.0002	Pakistan_Butkara_IA
I12968	-0.0147	0.0276	-0.0029	-0.0247	-0.0504	-0.0392	0.0129	-0.0051	0.0020	-0.0011	Pakistan_Butkara_IA
I13219	-0.0121	0.0318	-0.0006	-0.0255	-0.0507	-0.0351	0.0081	0.0028	0.0007	-0.0049	Pakistan_Butkara_IA
I8193	-0.0123	0.0308	-0.0061	-0.0295	-0.0540	-0.0341	0.0052	-0.0080	0.0008	-0.0029	Pakistan_Gogdara_IA
I8194	-0.0115	0.0309	-0.0051	-0.0288	-0.0514	-0.0386	0.0052	-0.0088	-0.0023	-0.0070	Pakistan_Gogdara_IA
I8218	-0.0114	0.0274	-0.0010	-0.0277	-0.0490	-0.0424	0.0060	-0.0131	-0.0032	0.0022	Pakistan_Aligrama_H
I8220	-0.0149	0.0287	-0.0091	-0.0317	-0.0491	-0.0381	0.0099	-0.0082	-0.0025	-0.0034	Pakistan_Aligrama_H
I8245	-0.0092	0.0337	-0.0012	-0.0309	-0.0463	-0.0368	0.0046	-0.0008	0.0034	-0.0063	Pakistan_Aligrama_H
I6889	-0.0106	0.0265	0.0003	-0.0274	-0.0482	-0.0380	0.0055	-0.0037	-0.0007	-0.0038	Pakistan_Barikot_H
I6890	-0.0123	0.0262	-0.0002	-0.0246	-0.0439	-0.0349	0.0035	-0.0035	0.0049	0.0009	Pakistan_Barikot_H
I7714	-0.0137	0.0282	-0.0026	-0.0305	-0.0491	-0.0397	0.0113	-0.0028	0.0012	0.0004	Pakistan_Barikot_H
I6549	-0.0116	0.0314	-0.0005	-0.0295	-0.0532	-0.0364	0.0079	-0.0073	0.0013	-0.0032	Pakistan_Butkara_H
I6550	-0.0131	0.0326	0.0029	-0.0326	-0.0472	-0.0299	-0.0005	-0.0043	0.0011	0.0024	Pakistan_Butkara_H
I6551	-0.0127	0.0347	-0.0016	-0.0332	-0.0463	-0.0419	0.0133	-0.0078	-0.0005	-0.0051	Pakistan_Butkara_H
I6552	-0.0117	0.0301	0.0021	-0.0310	-0.0489	-0.0366	0.0042	-0.0030	-0.0043	-0.0064	Pakistan_Butkara_H_mother.I6549
I6891	-0.0132	0.0304	-0.0003	-0.0251	-0.0510	-0.0361	0.0049	-0.0069	0.0036	-0.0065	Pakistan_SaiduSharif_H
I6894	-0.0130	0.0284	-0.0016	-0.0271	-0.0446	-0.0364	0.0031	-0.0082	-0.0014	0.0042	Pakistan_SaiduSharif_H
I6896	-0.0124	0.0307	-0.0052	-0.0265	-0.0427	-0.0341	0.0136	-0.0170	0.0042	-0.0065	Pakistan_SaiduSharif_H
I7717	-0.0148	0.0323	0.0015	-0.0312	-0.0488	-0.0420	0.0147	-0.0006	0.0005	0.0037	Pakistan_SaiduSharif_H
I7718	-0.0094	0.0305	-0.0060	-0.0255	-0.0479	-0.0384	0.0004	-0.0063	0.0069	0.0016	Pakistan_SaiduSharif_H
I7719	-0.0104	0.0280	-0.0039	-0.0293	-0.0425	-0.0382	0.0015	-0.0032	-0.0019	-0.0051	Pakistan_SaiduSharif_H
I7720	-0.0123	0.0293	0.0007	-0.0295	-0.0476	-0.0296	0.0168	-0.0064	0.0087	-0.0045	Pakistan_SaiduSharif_H
I7721	-0.0100	0.0274	-0.0012	-0.0308	-0.0511	-0.0308	0.0083	-0.0065	-0.0023	0.0030	Pakistan_SaiduSharif_H
I7722	-0.0118	0.0371	0.0006	-0.0413	-0.0408	-0.0471	0.0125	-0.0047	-0.0022	-0.0046	Pakistan_SaiduSharif_H
I7723	-0.0102	0.0293	0.0029	-0.0336	-0.0515	-0.0358	0.0047	-0.0094	0.0022	-0.0017	Pakistan_SaiduSharif_H
I2954	-0.0043	0.0248	-0.0338	-0.0245	-0.0620	-0.0749	0.0142	-0.0285	0.0089	-0.0115	Pakistan_SaiduSharif_H_contam_lc
I6893	-0.0111	0.0191	-0.0039	-0.0282	-0.0344	-0.0303	0.0104	-0.0001	0.0028	-0.0024	Pakistan_SaiduSharif_H_o2
I10523	-0.0144	0.0271	-0.0001	-0.0295	-0.0546	-0.0351	0.0088	-0.0030	0.0043	-0.0008	Pakistan_Katelai_IA
I12141	-0.0129	0.0260	-0.0023	-0.0190	-0.0409	-0.0342	0.0090	0.0055	0.0028	-0.0021	Pakistan_Katelai_IA
I12142	-0.0107	0.0319	-0.0034	-0.0265	-0.0552	-0.0404	0.0069	-0.0059	-0.0003	0.0080	Pakistan_Katelai_IA
I12143	-0.0133	0.0336	-0.0016	-0.0311	-0.0462	-0.0391	0.0022	0.0028	0.0033	-0.0024	Pakistan_Katelai_IA
I12144	-0.0110	0.0308	0.0037	-0.0246	-0.0591	-0.0415	0.0305	-0.0012	-0.0010	0.0002	Pakistan_Katelai_IA
I12146	-0.0135	0.0311	-0.0038	-0.0254	-0.0455	-0.0417	0.0009	-0.0050	-0.0013	0.0008	Pakistan_Katelai_IA
I12147	-0.0090	0.0304	0.0010	-0.0289	-0.0543	-0.0343	0.0029	-0.0016	0.0101	-0.0104	Pakistan_Katelai_IA
I12444	-0.0105	0.0231	-0.0001	-0.0300	-0.0520	-0.0295	-0.0009	0.0034	-0.0121	-0.0110	Pakistan_Katelai_IA
I12445	-0.0112	0.0291	0.0026	-0.0286	-0.0531	-0.0265	0.0100	-0.0093	0.0005	0.0030	Pakistan_Katelai_IA
I12446	-0.0128	0.0359	-0.0010	-0.0355	-0.0562	-0.0422	0.0109	-0.0071	0.0042	-0.0026	Pakistan_Katelai_IA
I12447	-0.0103	0.0240	-0.0018	-0.0237	-0.0494	-0.0305	0.0013	-0.0070	0.0031	-0.0042	Pakistan_Katelai_IA
I12448	-0.0086	0.0317	0.0028	-0.0279	-0.0503	-0.0362	0.0147	-0.0108	-0.0012	0.0013	Pakistan_Katelai_IA
I12454	-0.0099	0.0273	-0.0016	-0.0300	-0.0493	-0.0401	0.0108	-0.0060	-0.0028	-0.0034	Pakistan_Katelai_IA
I12460	-0.0154	0.0371	-0.0003	-0.0307	-0.0487	-0.0442	0.0086	-0.0074	-0.0049	0.0006	Pakistan_Katelai_IA
I12461	-0.0112	0.0257	-0.0012	-0.0193	-0.0530	-0.0370	0.0052	-0.0008	-0.0006	-0.0001	Pakistan_Katelai_IA
I12462	-0.0121	0.0296	0.0012	-0.0270	-0.0527	-0.0311	0.0008	-0.0097	0.0052	-0.0020	Pakistan_Katelai_IA
I12463	-0.0122	0.0339	0.0005	-0.0266	-0.0482	-0.0303	0.0029	-0.0058	0.0046	-0.0024	Pakistan_Katelai_IA
I12464	-0.0110	0.0258	-0.0040	-0.0253	-0.0452	-0.0331	0.0099	-0.0067	0.0001	0.0030	Pakistan_Katelai_IA
I12465	-0.0147	0.0337	-0.0007	-0.0289	-0.0438	-0.0324	0.0093	-0.0103	-0.0008	-0.0082	Pakistan_Katelai_IA
I12470	-0.0171	0.0356	-0.0003	-0.0300	-0.0500	-0.0410	0.0074	-0.0089	0.0095	-0.0008	Pakistan_Katelai_IA
I12471	-0.0112	0.0273	-0.0025	-0.0255	-0.0494	-0.0422	0.0158	-0.0051	-0.0058	-0.0025	Pakistan_Katelai_IA
I12473	-0.0138	0.0334	-0.0103	-0.0357	-0.0614	-0.0460	0.0114	-0.0184	0.0156	-0.0070	Pakistan_Katelai_IA
I12475	-0.0108	0.0271	-0.0020	-0.0280	-0.0472	-0.0322	0.0015	0.0000	-0.0009	-0.0047	Pakistan_Katelai_IA
I12477	-0.0120	0.0308	-0.0021	-0.0285	-0.0489	-0.0358	0.0053	-0.0053	-0.0011	0.0035	Pakistan_Katelai_IA
I5396	-0.0126	0.0260	-0.0003	-0.0262	-0.0508	-0.0374	0.0099	-0.0016	0.0064	-0.0014	Pakistan_Katelai_IA
I5397	-0.0114	0.0288	0.0036	-0.0223	-0.0530	-0.0372	0.0118	0.0062	-0.0068	-0.0006	Pakistan_Katelai_IA
I5398	-0.0105	0.0275	-0.0003	-0.0250	-0.0508	-0.0330	0.0052	0.0029	0.0007	-0.0028	Pakistan_Katelai_IA
I12140	-0.0138	0.0213	-0.0113	-0.0225	-0.0661	-0.0439	-0.0014	0.0094	-0.0037	-0.0195	Pakistan_Katelai_IA_1d.rel.I10523_lc
I12453	-0.0146	0.0344	0.0069	-0.0109	-0.0480	-0.0409	-0.0267	-0.0158	-0.0058	0.0180	Pakistan_Katelai_IA_lc
I12466	-0.0055	0.0483	-0.0010	-0.0254	-0.0614	-0.0077	0.0269	0.0444	-0.0046	-0.0116	Pakistan_Katelai_IA_lc
I12149	-0.0132	0.0304	-0.0046	-0.0274	-0.0442	-0.0344	0.0078	-0.0010	-0.0004	-0.0003	Pakistan_Katelai_IA
I5399	-0.0170	0.0331	-0.0020	-0.0321	-0.0496	-0.0390	0.0108	-0.0036	-0.0005	-0.0101	Pakistan_Katelai_IA
I11562	-0.0326	0.0062	0.0138	0.0247	0.0003	-0.0518	0.0138	-0.0103	-0.0099	-0.0139	Pakistan_LBA_lc
I10000	-0.0115	0.0289	-0.0052	-0.0313	-0.0482	-0.0401	0.0057	-0.0008	-0.0085	-0.0012	Pakistan_Loebanr_IA
I10001	-0.0139	0.0297	0.0006	-0.0290	-0.0533	-0.0359	0.0032	-0.0086	0.0011	0.0028	Pakistan_Loebanr_IA
I10974	-0.0152	0.0267	0.0004	-0.0260	-0.0513	-0.0346	0.0057	-0.0076	0.0066	-0.0090	Pakistan_Loebanr_IA
I12134	-0.0141	0.0338	0.0026	-0.0338	-0.0539	-0.0355	0.0143	-0.0152	0.0046	-0.0068	Pakistan_Loebanr_IA
I12137	-0.0115	0.0295	-0.0021	-0.0291	-0.0553	-0.0433	0.0043	-0.0048	0.0071	0.0057	Pakistan_Loebanr_IA
I12455	-0.0134	0.0302	0.0032	-0.0296	-0.0486	-0.0393	-0.0012	-0.0045	-0.0001	-0.0073	Pakistan_Loebanr_IA
I12456	-0.0116	0.0328	-0.0033	-0.0298	-0.0482	-0.0329	-0.0043	-0.0023	0.0055	0.0107	Pakistan_Loebanr_IA
I12457	-0.0114	0.0322	-0.0009	-0.0268	-0.0463	-0.0389	0.0045	-0.0083	-0.0013	-0.0094	Pakistan_Loebanr_IA
I12458	-0.0126	0.0276	-0.0037	-0.0268	-0.0547	-0.0395	0.0154	-0.0007	0.0017	-0.0009	Pakistan_Loebanr_IA
I12459	-0.0149	0.0316	-0.0042	-0.0212	-0.0513	-0.0359	0.0063	-0.0082	-0.0048	0.0015	Pakistan_Loebanr_IA
I12979	-0.0141	0.0262	-0.0015	-0.0273	-0.0441	-0.0376	0.0088	-0.0022	0.0115	0.0007	Pakistan_Loebanr_IA
I12980	-0.0100	0.0325	-0.0024	-0.0231	-0.0367	-0.0240	0.0034	0.0172	0.0032	-0.0008	Pakistan_Loebanr_IA
I12981	-0.0154	0.0333	0.0008	-0.0332	-0.0548	-0.0411	0.0161	-0.0119	0.0003	-0.0015	Pakistan_Loebanr_IA
I12982	-0.0135	0.0270	-0.0042	-0.0272	-0.0452	-0.0321	0.0071	-0.0007	-0.0039	0.0005	Pakistan_Loebanr_IA
I12984	-0.0124	0.0291	-0.0016	-0.0239	-0.0534	-0.0373	0.0074	-0.0010	0.0003	-0.0042	Pakistan_Loebanr_IA
I12987	-0.0151	0.0308	-0.0005	-0.0285	-0.0519	-0.0378	0.0102	-0.0107	-0.0029	-0.0098	Pakistan_Loebanr_IA
I12988	-0.0123	0.0326	-0.0021	-0.0259	-0.0548	-0.0396	0.0062	-0.0033	-0.0088	-0.0017	Pakistan_Loebanr_IA
I13220	-0.0122	0.0277	-0.0041	-0.0293	-0.0516	-0.0339	0.0092	-0.0072	0.0024	-0.0017	Pakistan_Loebanr_IA
I13221	-0.0126	0.0308	-0.0038	-0.0234	-0.0532	-0.0327	0.0121	-0.0084	0.0025	0.0014	Pakistan_Loebanr_IA
I13222	-0.0120	0.0296	0.0010	-0.0239	-0.0535	-0.0366	0.0074	-0.0008	0.0024	-0.0090	Pakistan_Loebanr_IA
I13223	-0.0135	0.0269	-0.0006	-0.0210	-0.0523	-0.0434	0.0064	-0.0018	-0.0062	-0.0061	Pakistan_Loebanr_IA
I13224	-0.0134	0.0308	-0.0040	-0.0283	-0.0552	-0.0418	0.0007	-0.0028	-0.0056	-0.0027	Pakistan_Loebanr_IA
I13226	-0.0138	0.0312	-0.0001	-0.0291	-0.0519	-0.0413	0.0068	-0.0038	0.0031	-0.0088	Pakistan_Loebanr_IA
I13227	-0.0121	0.0296	-0.0004	-0.0283	-0.0518	-0.0373	0.0112	-0.0012	0.0009	-0.0023	Pakistan_Loebanr_IA
I13228	-0.0123	0.0288	-0.0052	-0.0285	-0.0542	-0.0394	0.0086	-0.0055	-0.0002	0.0068	Pakistan_Loebanr_IA
I5400	-0.0143	0.0296	-0.0031	-0.0262	-0.0532	-0.0421	0.0073	-0.0053	0.0021	-0.0031	Pakistan_Loebanr_IA
I6292	-0.0108	0.0295	-0.0023	-0.0278	-0.0483	-0.0351	0.0127	0.0050	-0.0017	0.0046	Pakistan_Loebanr_IA
I6553	-0.0108	0.0259	0.0013	-0.0231	-0.0467	-0.0359	0.0073	-0.0030	-0.0057	-0.0002	Pakistan_Loebanr_IA
I6556	-0.0119	0.0270	-0.0057	-0.0258	-0.0526	-0.0327	0.0080	-0.0020	-0.0058	0.0011	Pakistan_Loebanr_IA
I8998	-0.0135	0.0269	-0.0013	-0.0222	-0.0542	-0.0372	0.0120	-0.0009	-0.0021	-0.0027	Pakistan_Loebanr_IA
I8999	-0.0121	0.0245	0.0002	-0.0240	-0.0531	-0.0351	0.0110	0.0013	0.0063	-0.0052	Pakistan_Loebanr_IA
I6555	-0.0122	0.0316	-0.0040	-0.0276	-0.0479	-0.0335	0.0077	-0.0028	0.0030	-0.0006	Pakistan_Loebanr_IA_1d.rel.I12136
I8997	-0.0133	0.0299	0.0003	-0.0236	-0.0521	-0.0408	0.0089	-0.0089	-0.0016	-0.0030	Pakistan_Loebanr_IA_brother.I8998
I12985	-0.0128	0.0283	-0.0011	-0.0304	-0.0558	-0.0387	0.0072	-0.0017	-0.0003	-0.0023	Pakistan_Loebanr_IA_mother.I10001
I12136	-0.0137	0.0293	0.0012	-0.0317	-0.0521	-0.0376	0.0039	-0.0061	0.0050	-0.0020	Pakistan_Loebanr_IA_mother.I6555
I12138	-0.0075	0.0216	-0.0053	-0.0190	-0.0405	-0.0283	0.0071	-0.0041	-0.0005	-0.0070	Pakistan_Loebanr_IA_o
I12983	-0.0113	0.0293	-0.0026	-0.0268	-0.0505	-0.0393	0.0040	-0.0084	-0.0027	-0.0052	Pakistan_Loebanr_IA
I6554	-0.0089	0.0276	-0.0072	-0.0354	-0.0488	-0.0390	0.0100	-0.0010	-0.0025	0.0044	Pakistan_Loebanr_IA_son.I6292.son.I10000
I1808	-0.0059	0.0226	-0.0074	-0.0298	-0.0455	-0.0449	0.0016	0.0029	-0.0092	0.0138	Pakistan_Parwak_Medieval
I11565	-0.0089	0.0216	-0.0071	-0.0248	-0.0595	-0.0299	0.0134	-0.0122	-0.0224	0.0014	Pakistan_Parwak_Medieval_lc
I7716	-0.0133	0.0265	0.0023	-0.0190	-0.0472	-0.0309	-0.0025	-0.0031	-0.0020	0.0023	Pakistan_RajaGira_Medieval
I1805	-0.0078	0.0236	-0.0068	-0.0226	-0.0394	-0.0368	0.0042	-0.0048	-0.0019	-0.0011	Pakistan_Singoor_Medieval
I2959	-0.0123	0.0259	-0.0030	-0.0232	-0.0389	-0.0311	0.0075	0.0015	-0.0001	0.0009	Pakistan_Udegram_Medieval_Ghaznavid
I2960	-0.0141	0.0245	-0.0010	-0.0210	-0.0324	-0.0268	0.0045	-0.0020	0.0024	0.0008	Pakistan_Udegram_Medieval_Ghaznavid_father.or.son.I2959
I12472	-0.0158	0.0305	0.0004	-0.0249	-0.0513	-0.0454	0.0067	-0.0076	0.0003	0.0021	Pakistan_Katelai_IA
I1799	-0.0124	0.0305	-0.0042	-0.0233	-0.0494	-0.0361	0.0058	-0.0094	-0.0083	0.0021	Pakistan_Udegram_IA
I1985	-0.0109	0.0298	-0.0001	-0.0276	-0.0503	-0.0341	0.0056	-0.0116	-0.0008	0.0005	Pakistan_Udegram_IA
I1994	-0.0148	0.0290	0.0007	-0.0301	-0.0466	-0.0392	0.0098	-0.0058	-0.0005	-0.0082	Pakistan_Udegram_IA
I6194	-0.0128	0.0274	-0.0018	-0.0251	-0.0502	-0.0356	0.0095	-0.0074	-0.0031	0.0001	Pakistan_Udegram_IA
I6195	-0.0125	0.0285	0.0057	-0.0216	-0.0543	-0.0336	0.0093	-0.0109	-0.0084	-0.0141	Pakistan_Udegram_IA
I6197	-0.0115	0.0289	-0.0049	-0.0249	-0.0526	-0.0359	0.0097	-0.0090	0.0069	0.0031	Pakistan_Udegram_IA
